"address","street_number","direction","street_name","street_type","complaints","neshaps_demolition_notices","enforcement","inspections","permits","tanks","holds","latitude","longitude","location"
"1838 N LOREL AVE","1838","N","LOREL","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1838%20and%20direction=%27N%27%20and%20street_name=%27LOREL%27%20and%20street_type=%27AVE%27)",,,,,,"41.91414625801432","-87.75965309905341","POINT (-87.75965309905341 41.91414625801432)"
"1842 W WARNER AVE","1842","W","WARNER","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1842%20and%20direction=%27W%27%20and%20street_name=%27WARNER%27%20and%20street_type=%27AVE%27)",,,,,,"41.957043507713465","-87.67593984784473","POINT (-87.67593984784473 41.957043507713465)"
"1857 W OHIO ST","1857","W","OHIO","ST",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1857%20and%20direction=%27W%27%20and%20street_name=%27OHIO%27%20and%20street_type=%27ST%27)",,,,,,"41.89220291605815","-87.6743051115415","POINT (-87.6743051115415 41.89220291605815)"
"1915 S AVERS AVE","1915","S","AVERS","AVE","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=1915%20and%20direction=%27S%27%20and%20street_name=%27AVERS%27%20and%20street_type=%27AVE%27)",,,,,,,"41.8545576570134","-87.72093608905526","POINT (-87.72093608905526 41.8545576570134)"
"1921 S MILLER ST","1921","S","MILLER","ST","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=1921%20and%20direction=%27S%27%20and%20street_name=%27MILLER%27%20and%20street_type=%27ST%27)",,,,,,,"41.85598842944261","-87.65218461295781","POINT (-87.65218461295781 41.85598842944261)"
"1928 W CRYSTAL ST","1928","W","CRYSTAL","ST","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=1928%20and%20direction=%27W%27%20and%20street_name=%27CRYSTAL%27%20and%20street_type=%27ST%27)",,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1928%20and%20direction=%27W%27%20and%20street_name=%27CRYSTAL%27%20and%20street_type=%27ST%27)",,,,"41.904250759911314","-87.67603724862138","POINT (-87.67603724862138 41.904250759911314)"
"1939 W ROSCOE ST","1939","W","ROSCOE","ST",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1939%20and%20direction=%27W%27%20and%20street_name=%27ROSCOE%27%20and%20street_type=%27ST%27)",,,,,,"41.943116689034575","-87.67757755246839","POINT (-87.67757755246839 41.943116689034575)"
"1940 W WALNUT ST","1940","W","WALNUT","ST",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1940%20and%20direction=%27W%27%20and%20street_name=%27WALNUT%27%20and%20street_type=%27ST%27)",,,,"41.88598726531421","-87.67596316679528","POINT (-87.67596316679528 41.88598726531421)"
"20 E CEDAR ST","20","E","CEDAR","ST",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=20%20and%20direction=%27E%27%20and%20street_name=%27CEDAR%27%20and%20street_type=%27ST%27)",,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=20%20and%20direction=%27E%27%20and%20street_name=%27CEDAR%27%20and%20street_type=%27ST%27)","Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=20%20and%20direction=%27E%27%20and%20street_name=%27CEDAR%27%20and%20street_type=%27ST%27)","Y (https://data.cityofchicago.org/resource/ug5u-hxnx.csv?street_number=20%20and%20direction=%27E%27%20and%20street_name=%27CEDAR%27%20and%20street_type=%27ST%27)",,"41.90249576149322","-87.62747598548701","POINT (-87.62747598548701 41.90249576149322)"
"2000 W DIVERSEY AVE","2000","W","DIVERSEY","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=2000%20and%20direction=%27W%27%20and%20street_name=%27DIVERSEY%27%20and%20street_type=%27AVE%27)",,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=2000%20and%20direction=%27W%27%20and%20street_name=%27DIVERSEY%27%20and%20street_type=%27AVE%27)",,,"41.93239416403691","-87.67817303087757","POINT (-87.67817303087757 41.93239416403691)"
