"zip_code","week_number","week_start","week_end","cases_weekly","cases_cumulative","case_rate_weekly","case_rate_cumulative","tests_weekly","tests_cumulative","test_rate_weekly","test_rate_cumulative","percent_tested_positive_weekly","percent_tested_positive_cumulative","deaths_weekly","deaths_cumulative","death_rate_weekly","death_rate_cumulative","population","row_id","zip_code_location"
"60617","25","2020-06-14T00:00:00.000","2020-06-20T00:00:00.000","32","1188","38.8","1439.4","891","9280","1079.6","11243.9","0.054","0.137","1","63","1.2","76.3","82534","60617-2020-25","POINT (-87.556897 41.721257)"
"60617","26","2020-06-21T00:00:00.000","2020-06-27T00:00:00.000","43","1231","52.1","1491.5","999","10279","1210.4","12454.3","0.055","0.129","1","64","1.2","77.5","82534","60617-2020-26","POINT (-87.556897 41.721257)"
"60617","27","2020-06-28T00:00:00.000","2020-07-04T00:00:00.000","42","1273","50.9","1542.4","1192","11471","1444.3","13898.5","0.044","0.12","0","64","0","77.5","82534","60617-2020-27","POINT (-87.556897 41.721257)"
"60617","28","2020-07-05T00:00:00.000","2020-07-11T00:00:00.000","66","1339","80","1622.4","1496","12967","1812.6","15711.1","0.053","0.112","1","65","1.2","78.8","82534","60617-2020-28","POINT (-87.556897 41.721257)"
"60617","29","2020-07-12T00:00:00.000","2020-07-18T00:00:00.000","93","1432","112.7","1735","1898","14865","2299.7","18010.8","0.056","0.105","0","65","0","78.8","82534","60617-2020-29","POINT (-87.556897 41.721257)"
"60617","30","2020-07-19T00:00:00.000","2020-07-25T00:00:00.000","93","1525","112.7","1847.7","1275","16140","1544.8","19555.6","0.084","0.103","3","68","3.6","82.4","82534","60617-2020-30","POINT (-87.556897 41.721257)"
"60617","31","2020-07-26T00:00:00.000","2020-08-01T00:00:00.000","123","1648","149","1996.8","1654","17794","2004","21559.6","0.089","0.102","1","69","1.2","83.6","82534","60617-2020-31","POINT (-87.556897 41.721257)"
"60617","32","2020-08-02T00:00:00.000","2020-08-08T00:00:00.000","73","1721","88.4","2085.2","1232","19026","1492.7","23052.3","0.083","0.101","4","73","4.8","88.4","82534","60617-2020-32","POINT (-87.556897 41.721257)"
"60617","33","2020-08-09T00:00:00.000","2020-08-15T00:00:00.000","82","1803","99.4","2184.6","1474","20500","1785.9","24838.2","0.066","0.098","1","74","1.2","89.7","82534","60617-2020-33","POINT (-87.556897 41.721257)"
"60617","34","2020-08-16T00:00:00.000","2020-08-22T00:00:00.000","85","1888","103","2287.5","1438","21938","1742.3","26580.6","0.067","0.096","1","75","1.2","90.9","82534","60617-2020-34","POINT (-87.556897 41.721257)"
"60617","35","2020-08-23T00:00:00.000","2020-08-29T00:00:00.000","80","1968","96.9","2384.5","1322","23260","1601.8","28182.3","0.079","0.095","1","76","1.2","92.1","82534","60617-2020-35","POINT (-87.556897 41.721257)"
"60617","38","2020-09-13T00:00:00.000","2020-09-19T00:00:00.000","70","2147","84.8","2601.4","1048","26338","1269.8","31911.7","0.07","0.092","1","81","1.2","98.1","82534","60617-2020-38","POINT (-87.556897 41.721257)"
"60617","39","2020-09-20T00:00:00.000","2020-09-26T00:00:00.000","58","2205","70.3","2671.6","1308","27646","1584.8","33496.5","0.054","0.09","1","82","1.2","99.4","82534","60617-2020-39","POINT (-87.556897 41.721257)"
"60617","44","2020-10-25T00:00:00.000","2020-10-31T00:00:00.000","272","3023","329.6","3662.7","2321","35988","2812.2","43603.8","0.139","0.095","3","88","3.6","106.6","82534","60617-2020-44","POINT (-87.556897 41.721257)"
