"case_","date_of_occurrence","block","_iucr","_primary_decsription","_secondary_description","_location_description","arrest","domestic","beat","ward","fbi_cd","x_coordinate","y_coordinate","latitude","longitude","location"
"JG249080","2023-05-05T08:30:00.000","084XX W BRYN MAWR AVE","0820","THEFT","$500 AND UNDER","STREET","N","N","1614","41","06","1118965","1936094","41.981104464","-87.837863613","
,  
(41.981104464, -87.837863613)"
"JG248682","2023-05-05T08:30:00.000","079XX S HONORE ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","N","N","611","17","14","1165400","1852037","41.749580595","-87.669480017","
,  
(41.749580595, -87.669480017)"
"JG248741","2023-05-05T08:30:00.000","0000X S FRANKLIN ST","0890","THEFT","FROM BUILDING","HOTEL / MOTEL","N","N","122","34","06","1174333","1900280","41.881770084","-87.635309866","
,  
(41.881770084, -87.635309866)"
"JG249010","2023-05-05T08:30:00.000","057XX S PRINCETON AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","N","N","711","20","14","1175265","1866965","41.790330168","-87.632885175","
,  
(41.790330168, -87.632885175)"
"JG249209","2023-05-05T08:45:00.000","047XX W CONGRESS PKWY","2820","OTHER OFFENSE","TELEPHONE THREAT","APARTMENT","N","N","1131","24","08A","1144949","1897276","41.874131887","-87.743283702","
,  
(41.874131887, -87.743283702)"
"JG248710","2023-05-05T08:50:00.000","051XX W CHICAGO AVE","0820","THEFT","$500 AND UNDER","ALLEY","N","Y","1531","37","06","1142024","1904845","41.89495683","-87.753835431","
,  
(41.89495683, -87.753835431)"
"JG251601","2023-05-05T09:00:00.000","012XX S LAKE SHORE DR W","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","VEHICLE NON-COMMERCIAL","N","N","132","4","07","1178744","1894976","41.867116025","-87.619275002","
,  
(41.867116025, -87.619275002)"
"JG248720","2023-05-05T09:00:00.000","015XX N MENARD AVE","5000","OTHER OFFENSE","OTHER CRIME AGAINST PERSON","RESIDENCE - YARD (FRONT / BACK)","N","N","2531","29","26","1137398","1909571","41.908010038","-87.770711915","
,  
(41.908010038, -87.770711915)"
"JG249528","2023-05-05T09:00:00.000","029XX N NEW ENGLAND AVE","2825","OTHER OFFENSE","HARASSMENT BY TELEPHONE","RESIDENCE","N","N","2511","36","26","1129916","1918676","41.933126687","-87.797988629","
,  
(41.933126687, -87.797988629)"
"JG292901","2023-05-05T09:00:00.000","038XX W WASHINGTON BLVD","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","COMMERCIAL / BUSINESS OFFICE","N","N","1122","28","07","1150687","1900141","41.88188359","-87.722141319","
,  
(41.88188359, -87.722141319)"
